technique_id,russian_name
TA0001,Начальный доступ
TA0002,Выполнение
TA0003,Закрепление
TA0004,Повышение привилегий
TA0005,Обход защиты
TA0006,Доступ к учетным данным
TA0007,Обнаружение
TA0008,Горизонтальное перемещение
TA0009,Сбор данных
TA0010,Эксфильтрация
TA0011,Командование и управление
TA0040,Воздействие
TA0042,Разработка ресурсов
TA0043,Разведка
T1001,Обход защиты при передаче данных
T1001.001,Обход защиты при передаче данных - Изменение протокола
T1001.002,Обход защиты при передаче данных - Изменение порта
T1001.003,Обход защиты при передаче данных - Туннелирование
T1003,Кража учетных данных
T1003.001,Кража учетных данных - Похищение учетных данных из LSASS
T1003.002,Кража учетных данных - Похищение хешей SAM
T1003.003,Кража учетных данных - Похищение учетных данных из NTDS.dit
T1003.004,Кража учетных данных - Похищение учетных данных из кэша LSA
T1003.005,Кража учетных данных - Похищение учетных данных из DCSync
T1003.006,Кража учетных данных - Похищение учетных данных из DCSync
T1003.007,Кража учетных данных - Похищение учетных данных из ProcDump
T1003.008,Кража учетных данных - Похищение учетных данных из /etc/passwd
T1003.009,Кража учетных данных - Похищение учетных данных из /etc/shadow
T1004,Распространение учетных данных
T1005,Сбор данных с локальной системы
T1006,Использование служб NFS
T1007,Сбор данных о системных службах
T1008,Использование альтернативных каналов связи
T1010,Сбор данных об установленных приложениях
T1011,Эксфильтрация через альтернативные протоколы
T1012,Сбор информации о реестре
T1014,Внедрение в системные процессы
T1016,Сбор информации о сетевой конфигурации
T1018,Обнаружение удаленных систем
T1020,Автоматическая эксфильтрация данных
T1021,Удаленное выполнение команд
T1021.001,Удаленное выполнение команд - RDP
T1021.002,Удаленное выполнение команд - SMB/Windows Admin Shares
T1021.003,Удаленное выполнение команд - DCOM
T1021.004,Удаленное выполнение команд - SSH
T1021.005,Удаленное выполнение команд - VNC
T1021.006,Удаленное выполнение команд - WinRM
T1025,Сбор данных из реестра
T1027,Обфускация файлов или информации
T1027.001,Обфускация файлов или информации - Упаковка файлов
T1027.002,Обфускация файлов или информации - Кодирование файлов
T1027.003,Обфускация файлов или информации - Сжатие файлов
T1027.004,Обфускация файлов или информации - Шифрование файлов
T1027.005,Обфускация файлов или информации - Стеганография
T1027.006,Обфускация файлов или информации - Исполняемые файлы без PE
T1027.007,Обфускация файлов или информации - Обфускация динамических библиотек
T1027.008,Обфускация файлов или информации - Обфускация скриптов
T1027.009,Обфускация файлов или информации - Встраивание данных
T1027.010,Обфускация файлов или информации - Подмена расширений
T1029,Планирование эксфильтрации данных
T1030,Архивация данных
T1033,Сбор данных о пользователях
T1036,Маскировка
T1036.001,Маскировка - Подмена названия файла
T1036.002,Маскировка - Подмена пути к файлу
T1036.003,Маскировка - Подмена расширения файла
T1036.004,Маскировка - Маскировка процессов
T1036.005,Маскировка - Маскировка времени
T1036.006,Маскировка - Подмена прав доступа
T1036.007,Маскировка - Подмена ресурсов
T1036.008,Маскировка - Маскировка сетевого трафика
T1037,Создание задач автозапуска
T1037.001,Создание задач автозапуска - Пути автозапуска
T1037.002,Создание задач автозапуска - Планировщик задач
T1037.003,Создание задач автозапуска - Службы Windows
T1037.004,Создание задач автозапуска - Демоны Linux
T1037.005,Создание задач автозапуска - Запуск скриптов
T1037.006,Создание задач автозапуска - Автозагрузка MacOS
T1040,Сбор данных о сетевых подключениях
T1041,Эксфильтрация через C2 канал
T1043,Использование общих сетевых ресурсов
T1046,Сканирование сетевых служб
T1047,WMI - Инструментарий управления Windows
T1048,Эксфильтрация через альтернативные протоколы
T1049,Сбор данных о сетевых соединениях
T1053,Планировщик задач
T1053.001,Планировщик задач - Windows
T1053.002,Планировщик задач - Linux
T1053.003,Планировщик задач - MacOS
T1053.004,Планировщик задач - Cron
T1053.005,Планировщик задач - Schtasks
T1053.006,Планировщик задач - Systemd timers
T1055,Внедрение кода в процессы
T1055.001,Внедрение кода в процессы - DLL Injection
T1055.002,Внедрение кода в процессы - Portable Executable Injection
T1055.003,Внедрение кода в процессы - Thread Execution Hijacking
T1055.004,Внедрение кода в процессы - Asynchronous Procedure Call
T1055.005,Внедрение кода в процессы - Process Hollowing
T1055.006,Внедрение кода в процессы - Process Doppelganging
T1055.007,Внедрение кода в процессы - Process Herpaderping
T1055.008,Внедрение кода в процессы - VDSO
T1055.009,Внедрение кода в процессы - Ptrace
T1055.010,Внедрение кода в процессы - Proc Memory
T1055.011,Внедрение кода в процессы - Extra Window Memory
T1055.012,Внедрение кода в процессы - Process Ghosting
T1055.013,Внедрение кода в процессы - Process Injection via .NET
T1055.014,Внедрение кода в процессы - Process Injection via PowerShell
T1055.015,Внедрение кода в процессы - Process Injection via Linux
T1057,Сбор данных о процессах
T1059,Выполнение команд через интерпретатор
T1059.001,Выполнение команд через интерпретатор - PowerShell
T1059.002,Выполнение команд через интерпретатор - Windows Command Shell
T1059.003,Выполнение команд через интерпретатор - Python
T1059.004,Выполнение команд через интерпретатор - Unix Shell
T1059.005,Выполнение команд через интерпретатор - Visual Basic
T1059.006,Выполнение команд через интерпретатор - JavaScript
T1059.007,Выполнение команд через интерпретатор - JScript
T1059.008,Выполнение команд через интерпретатор - .NET
T1059.009,Выполнение команд через интерпретатор - AppleScript
T1059.010,Выполнение команд через интерпретатор - Lua
T1059.011,Выполнение команд через интерпретатор - PHP
T1059.012,Выполнение команд через интерпретатор - Perl
T1059.013,Выполнение команд через интерпретатор - Ruby
T1059.014,Выполнение команд через интерпретатор - SQL
T1059.015,Выполнение команд через интерпретатор - Rust
T1059.016,Выполнение команд через интерпретатор - Go
T1069,Переучет учетных записей
T1069.001,Переучет учетных записей - Локальные учетные записи
T1069.002,Переучет учетных записей - Доменные учетные записи
T1069.003,Переучет учетных записей - Учетные записи Azure AD
T1070,Удаление следов
T1070.001,Удаление следов - Очистка журналов
T1070.002,Удаление следов - Очистка истории команд
T1070.003,Удаление следов - Очистка кэша DNS
T1070.004,Удаление следов - Очистка реестра
T1070.005,Удаление следов - Очистка временных файлов
T1070.006,Удаление следов - Очистка истории браузера
T1070.007,Удаление следов - Очистка корзины
